Filename,FILTER,DATE-OBS,DETECTOR,XTENSION,BITPIX,NAXIS,NAXIS1,NAXIS2,PCOUNT,GCOUNT,EXTNAME,MJD-BEG,MJD-AVG,MJD-END,TDB-BEG,TDB-MID,TDB-END,XPOSURE,TELAPSE,,REFFRAME,EPH_TYPE,EPH_TIME,JWST_X,JWST_Y,JWST_Z,OBSGEO-X,OBSGEO-Y,OBSGEO-Z,JWST_DX,JWST_DY,JWST_DZ,OBSGEODX,OBSGEODY,OBSGEODZ,PA_APER,VA_SCALE,BUNIT,PHOTMJSR,PHOTUJA2,PIXAR_SR,PIXAR_A2,RADESYS,RA_V1,DEC_V1,PA_V3,WCSAXES,CRPIX1,CRPIX2,CRVAL1,CRVAL2,CTYPE1,CTYPE2,CUNIT1,CUNIT2,CD1_1,CD1_2,CD2_1,CD2_2,S_REGION,V2_REF,V3_REF,VPARITY,V3I_YANG,RA_REF,DEC_REF,ROLL_REF,VELOSYS,A_ORDER,B_ORDER,AP_ORDER,BP_ORDER,A_0_2,A_0_3,A_1_1,A_1_2,A_2_0,A_2_1,A_3_0,B_0_2,B_0_3,B_1_1,B_1_2,B_2_0,B_2_1,B_3_0,AP_0_2,AP_0_3,AP_1_1,AP_1_2,AP_2_0,AP_2_1,AP_3_0,BP_0_2,BP_0_3,BP_1_1,BP_1_2,BP_2_0,BP_2_1,BP_3_0,EXTVER,A_0_4,A_1_3,A_2_2,A_3_1,A_4_0,B_0_4,B_1_3,B_2_2,B_3_1,B_4_0,AP_0_4,AP_1_3,AP_2_2,AP_3_1,AP_4_0,BP_0_4,BP_1_3,BP_2_2,BP_3_1,BP_4_0
jw04446002001_02105_00002_nrcb2_cal.fits,F200W,2023-04-22,NRCB2,IMAGE,-32,2,2048,2048,0,1,SCI,6.0056989150702e+04,6.0056991760334e+04,6.0056994369965e+04,6.0056992450700e+04,6.0056995060150e+04,6.0056997669599e+04,4.2947100000000e+02,4.4020800000000e+02,N/A,EME2000,Definitive,6.0056991760334e+04,-1.2921737925941e+08,-7.4932512476253e+07,-3.2186847962496e+07,-7.3589371057386e+08,-1.1322378475809e+09,-2.3045731385519e+08,1.5715156761705e+01,-2.3504908668231e+01,-1.0320455434129e+01,2.8039396018562e+02,-2.7239503483476e+02,-2.4824823753301e+02,1.3919844142939e+02,9.9993025720931e-01,MJy/sr,1.9689999818802e+00,4.6280223305588e+01,2.2900000000000e-14,9.7320000000000e-04,ICRS,1.7191276129243e+02,4.2344783162771e+01,1.3841396805875e+02,2,1.0245000000000e+03,1.0245000000000e+03,1.7181599695085e+02,4.2476521366281e+01,RA---TAN-SIP,DEC--TAN-SIP,deg,deg,6.5333695573686e-06,5.6785403396587e-06,5.6532142556600e-06,-6.5773602240121e-06,POLYGON ICRS  171.798955622 42.477460897 171.814879722 42.464046171 171.832892115 42.475566230 171.817256414 42.489113892,-1.2263557700000e+02,-5.2544387000000e+02,-1,8.4980533000000e-01,1.7181595720398e+02,4.2476522895062e+01,1.3834863609939e+02,2.0910090000000e+04,3,3,3,3,1.2080956429686e-06,-1.9578898529511e-11,-6.7735845311627e-06,4.3199568473592e-10,1.8015399987343e-07,3.9399513723528e-12,3.2982165857519e-10,-4.7430352657084e-06,3.6506172821032e-10,-1.0877636883912e-06,1.3963490655188e-11,2.0618495534074e-06,3.8371811378595e-10,1.2696811492340e-11,-1.2063176692501e-06,2.3571169238977e-15,6.7576963013064e-06,-3.5513885282602e-10,-1.7972354757228e-07,4.3633969750354e-12,-3.4278058860232e-10,4.7332714836374e-06,-3.2042997945295e-10,1.0859223938285e-06,1.3716637868169e-11,-2.0608963535641e-06,-4.2906935563636e-10,-1.4314184394166e-11,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
jw01176251001_02107_00002_nrca3_cal.fits,F200W,2023-03-30,NRCA3,IMAGE,-32,2,2048,2048,0,1,SCI,6.0033289874878e+04,6.0033292981583e+04,6.0033296088287e+04,6.0033294580306e+04,6.0033297686864e+04,6.0033300793423e+04,5.2610200000000e+02,5.2610200000000e+02,N/A,EME2000,Definitive,6.0033292981583e+04,-1.5004251238345e+08,-2.1824788924449e+07,-9.0489737555936e+06,-1.1742785077855e+09,-2.7034832285375e+08,2.5949461409996e+08,4.2628981755931e+00,-2.7643156138721e+01,-1.1948254789137e+01,7.1543111255044e+01,-5.3448623485881e+02,-1.9664729267536e+02,1.5791933561582e+02,9.9995297019803e-01,MJy/sr,1.8960000276566e+00,4.4564400952181e+01,2.2647007599476e-14,9.6352079501796e-04,ICRS,1.7185845533883e+02,4.2349594562699e+01,1.5770031269708e+02,2,1.0245000000000e+03,1.0245000000000e+03,1.7176485439766e+02,4.2479786807040e+01,RA---TAN-SIP,DEC--TAN-SIP,deg,deg,8.0357675186775e-06,3.2846958096495e-06,3.3021313097693e-06,-8.0961477620562e-06,POLYGON ICRS  171.749073451 42.484678205 171.758333743 42.468177366 171.780530901 42.474854039 171.771538485 42.491540802,5.1946174000000e+01,-5.2792752700000e+02,-1,2.8210395000000e-01,1.7176490420372e+02,4.2479760415928e+01,1.5763723166582e+02,1.4084170000000e+04,3,3,3,3,-3.8557703649511e-07,-1.1704803465446e-11,-6.8257648433100e-06,4.2319297617085e-10,2.1068960028054e-06,-5.9804028873967e-11,3.1713610984309e-10,-4.7345061713872e-06,3.3946963783241e-10,2.6209980254763e-06,-8.5125424934782e-11,2.0695203600147e-06,3.6697817972326e-10,-7.9284777434683e-12,3.8640197335504e-07,1.7829023863562e-11,6.8101248857732e-06,-3.4687645341158e-10,-2.1024517321009e-06,-3.0157603568579e-12,-3.2145351834638e-10,4.7252456477442e-06,-2.9490724538478e-10,-2.6136303649969e-06,2.8304837674316e-11,-2.0689177315569e-06,-4.0151641646148e-10,2.2011623076215e-11,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
jw01176251001_02107_00003_nrca4_cal.fits,F200W,2023-03-30,NRCA4,IMAGE,-32,2,2048,2048,0,1,SCI,6.0033296958582e+04,6.0033300065286e+04,6.0033303171991e+04,6.0033301663677e+04,6.0033304770235e+04,6.0033307876794e+04,5.2610200000000e+02,5.2610200000000e+02,N/A,EME2000,Definitive,6.0033300065286e+04,-1.5003990222289e+08,-2.1841707251402e+07,-9.0562864144911e+06,-1.1742346888506e+09,-2.7067544076792e+08,2.5937424322430e+08,4.2665922555116e+00,-2.7642602727775e+01,-1.1948073567392e+01,7.1648554722789e+01,-5.3447065405393e+02,-1.9670098965492e+02,1.5774247710663e+02,9.9995297387118e-01,MJy/sr,1.8289999961853e+00,4.2989603366348e+01,2.2500000000000e-14,9.5550000000000e-04,ICRS,1.7185634123717e+02,4.2349011585485e+01,1.5769889771248e+02,2,1.0245000000000e+03,1.0245000000000e+03,1.7177233955207e+02,4.2461682697627e+01,RA---TAN-SIP,DEC--TAN-SIP,deg,deg,7.9320789073292e-06,3.2571790446581e-06,3.2542203770767e-06,-7.9573042289286e-06,POLYGON ICRS  171.756775559 42.466463102 171.765922539 42.450235270 171.787861893 42.456822942 171.778909799 42.473211975,5.2359040000000e+01,-4.5990117800000e+02,-1,1.0017832000000e-01,1.7177238878958e+02,4.2461656782578e+01,1.5764229878663e+02,1.4086620000000e+04,3,3,3,3,-3.9994085654973e-07,1.9632077047356e-11,-5.3041481261882e-06,3.8840162240442e-10,2.0841274601093e-06,1.6833534174935e-11,3.0389145261453e-10,-2.5701208378838e-06,3.5494724513922e-10,2.5934785126952e-06,3.7848857680810e-11,2.8044309777315e-06,3.5530967037362e-10,2.9948133088469e-11,3.9968746380785e-07,-1.5604122923100e-11,5.2942141668682e-06,-3.4960239241480e-10,-2.0803814928558e-06,-6.5768724381330e-11,-3.0928108159181e-10,2.5653549937014e-06,-3.4220648345552e-10,-2.5876686605841e-06,-7.3595951044445e-11,-2.8015185902663e-06,-3.8610773542769e-10,-1.0813256801583e-11,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
jw01176251001_02107_00002_nrca2_cal.fits,F200W,2023-03-30,NRCA2,IMAGE,-32,2,2048,2048,0,1,SCI,6.0033289874878e+04,6.0033292981583e+04,6.0033296088287e+04,6.0033294580306e+04,6.0033297686864e+04,6.0033300793423e+04,5.2610200000000e+02,5.2610200000000e+02,N/A,EME2000,Definitive,6.0033292981583e+04,-1.5004251238345e+08,-2.1824788924449e+07,-9.0489737555936e+06,-1.1742785077855e+09,-2.7034832285375e+08,2.5949461409996e+08,4.2628981755931e+00,-2.7643156138721e+01,-1.1948254789137e+01,7.1543111255044e+01,-5.3448623485881e+02,-1.9664729267536e+02,1.5742068150244e+02,9.9995295902239e-01,MJy/sr,2.0999999046326e+00,4.9359301890548e+01,2.2300000000000e-14,9.4730000000000e-04,ICRS,1.7185845533883e+02,4.2349594562699e+01,1.5770031269708e+02,2,1.0245000000000e+03,1.0245000000000e+03,1.7175101187578e+02,4.2455115221566e+01,RA---TAN-SIP,DEC--TAN-SIP,deg,deg,7.8772446957147e-06,3.2879711533766e-06,3.2870257141964e-06,-7.9066844975610e-06,POLYGON ICRS  171.735446175 42.459811576 171.744689115 42.443663236 171.766458977 42.450344887 171.757436984 42.466605353,1.1974006100000e+02,-4.5978426000000e+02,-1,-2.0724878000000e-01,1.7175106108496e+02,4.2455089619988e+01,1.5762793028244e+02,1.4084170000000e+04,3,3,3,3,-1.1141521520679e-06,-1.4541853654462e-12,-5.2971075397170e-06,3.7484099817354e-10,-8.2367664079197e-09,-2.2891432494071e-11,2.9528847994897e-10,-2.5592289690361e-06,3.3377485187681e-10,1.1311050867264e-06,-6.2532811729235e-11,2.8035023974237e-06,3.3354211437261e-10,-1.2092896141730e-11,1.1130623050452e-06,1.3233783609998e-11,5.2871890992308e-06,-3.3484832579402e-10,8.2336555815746e-09,1.0561862012287e-11,-3.0956567759518e-10,2.5545939221257e-06,-3.2127191573551e-10,-1.1289752291159e-06,4.1283950498855e-11,-2.8010657452293e-06,-3.7536691237948e-10,1.5135505275100e-11,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
jw01176251001_02107_00002_nrcb1_cal.fits,F200W,2023-03-30,NRCB1,IMAGE,-32,2,2048,2048,0,1,SCI,6.0033289874138e+04,6.0033292980842e+04,6.0033296087546e+04,6.0033294579565e+04,6.0033297686124e+04,6.0033300792682e+04,5.2610200000000e+02,5.2610200000000e+02,N/A,EME2000,Definitive,6.0033292980842e+04,-1.5004251265632e+08,-2.1824787155000e+07,-9.0489729907807e+06,-1.1742785123640e+09,-2.7034828864680e+08,2.5949462668518e+08,4.2628977893021e+00,-2.7643156196568e+01,-1.1948254808077e+01,7.1543100229971e+01,-5.3448623648513e+02,-1.9664728705926e+02,1.5802974837283e+02,9.9995305145322e-01,MJy/sr,2.0559999942780e+00,4.8325109053892e+01,2.2300000000000e-14,9.4530000000000e-04,ICRS,1.7185845533883e+02,4.2349594562698e+01,1.5770031269152e+02,2,1.0245000000000e+03,1.0245000000000e+03,1.7183572198398e+02,4.2480119065201e+01,RA---TAN-SIP,DEC--TAN-SIP,deg,deg,7.9120012826655e-06,3.1999822936388e-06,3.1798173547497e-06,-7.9321972544670e-06,POLYGON ICRS  171.820239378 42.484978974 171.829263273 42.468740916 171.851118040 42.475239442 171.842358518 42.491513148,-1.2242798600000e+02,-4.5770675400000e+02,-1,3.4481904000000e-01,1.7183570403395e+02,4.2480128724566e+01,1.5768492933283e+02,1.4084170000000e+04,3,3,3,3,1.1935385476974e-06,-6.6417511725744e-12,-5.3121067890183e-06,3.7697439250982e-10,1.2880755450059e-07,2.6402952700628e-12,3.0744547293288e-10,-2.5516007432488e-06,2.8928969029333e-10,-1.1336575753586e-06,4.0291983771755e-11,2.8026064057420e-06,3.3514622828653e-10,-4.3275968542238e-13,-1.1922114698316e-06,-5.4513387915690e-12,5.3020739703775e-06,-3.3673488186746e-10,-1.2843491496992e-07,7.7009604068620e-12,-3.2151723342320e-10,2.5473932607870e-06,-2.7696522176667e-10,1.1319971492994e-06,-1.9052227960396e-11,-2.8002432985432e-06,-3.7718536506022e-10,-2.1815001956989e-12,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
jw04446003001_02105_00003_nrcb2_cal.fits,F200W,2023-05-09,NRCB2,IMAGE,-32,2,2048,2048,0,1,SCI,6.0073609167623e+04,6.0073611777255e+04,6.0073614386887e+04,6.0073611227366e+04,6.0073613836793e+04,6.0073616446220e+04,4.2947100000000e+02,4.4020800000000e+02,N/A,EME2000,Definitive,6.0073611777255e+04,-1.0189245954765e+08,-1.0516906716369e+08,-4.5517957398500e+07,-3.2657412157539e+08,-1.3958726898769e+09,-5.6913296177038e+08,2.2061028159843e+01,-1.8352021986398e+01,-8.1251076019230e+00,2.7484313384030e+02,-8.9085195225857e+01,-2.0871978785356e+02,1.2808324914017e+02,9.9992155186493e-01,MJy/sr,1.9689999818802e+00,4.6280223305588e+01,2.2900000000000e-14,9.7320000000000e-04,ICRS,1.7194373343481e+02,4.2359851406171e+01,1.2732075147137e+02,2,1.0245000000000e+03,1.0245000000000e+03,1.7181440230634e+02,4.2475363610952e+01,RA---TAN-SIP,DEC--TAN-SIP,deg,deg,5.3209286971188e-06,6.8399580525095e-06,6.8066267203235e-06,-5.3592114179370e-06,POLYGON ICRS  171.797435861 42.473862494 171.816566099 42.462963636 171.831230062 42.476828679 171.812346099 42.487898844,-1.2263557700000e+02,-5.2544387000000e+02,-1,8.4980533000000e-01,1.7181436290654e+02,4.2475359459594e+01,1.2723344381017e+02,2.3519350000000e+04,3,3,3,3,1.2080956442959e-06,-1.9578898823918e-11,-6.7735845341776e-06,4.3199568386360e-10,1.8015400101777e-07,3.9399511416264e-12,3.2982165766162e-10,-4.7430352638007e-06,3.6506172739628e-10,-1.0877636883201e-06,1.3963490877176e-11,2.0618495561547e-06,3.8371811346563e-10,1.2696811601990e-11,-1.2063176705724e-06,2.3573901370093e-15,6.7576963043541e-06,-3.5513885191179e-10,-1.7972354871634e-07,4.3633971771805e-12,-3.4278058770257e-10,4.7332714817521e-06,-3.2042997867709e-10,1.0859223937548e-06,1.3716637647201e-11,-2.0608963563141e-06,-4.2906935539423e-10,-1.4314184506413e-11,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
jw04446003001_02105_00002_nrcb3_cal.fits,F200W,2023-05-09,NRCB3,IMAGE,-32,2,2048,2048,0,1,SCI,6.0073603078734e+04,6.0073605688366e+04,6.0073608297998e+04,6.0073605138955e+04,6.0073607748382e+04,6.0073610357809e+04,4.2947100000000e+02,4.4020800000000e+02,N/A,EME2000,Definitive,6.0073605688366e+04,-1.0190406488571e+08,-1.0515941196545e+08,-4.5513682697080e+07,-3.2671871911178e+08,-1.3958258054836e+09,-5.6902315077618e+08,2.2059023257460e+01,-1.8354176486620e+01,-8.1260386639023e+00,2.7487371665578e+02,-8.9155241346185e+01,-2.0874898371610e+02,1.2679015136968e+02,9.9992154252392e-01,MJy/sr,1.9579999446869e+00,4.6021673695451e+01,2.2500000000000e-14,9.5310000000000e-04,ICRS,1.7194516258298e+02,4.2361142455386e+01,1.2732160485684e+02,2,1.0245000000000e+03,1.0245000000000e+03,1.7182062251292e+02,4.2450220596418e+01,RA---TAN-SIP,DEC--TAN-SIP,deg,deg,5.1320045317274e-06,6.8775325849618e-06,6.8542684926523e-06,-5.1423457403448e-06,POLYGON ICRS  171.803879814 42.448427695 171.823107896 42.437939215 171.837236042 42.451937853 171.818260233 42.462526292,-5.4559807000000e+01,-4.5773114900000e+02,-1,-4.4742133000000e-01,1.7182058022795e+02,4.2450215462946e+01,1.2723757269968e+02,2.3518780000000e+04,4,4,4,4,5.6047662255055e-07,-1.1353732317348e-11,-5.3098857201187e-06,4.1372957541772e-10,-1.9325717084538e-06,1.9677494324097e-11,3.1509275032481e-10,-2.5842647887738e-06,3.1777203668619e-10,-2.4923285594611e-06,-2.3255309000898e-11,2.8275036689820e-06,3.4221258784906e-10,-1.8267469029511e-11,-5.6016910495611e-07,7.8637608652775e-12,5.3097363097510e-06,-3.7407464845212e-10,1.9327795761159e-06,2.9393431196391e-11,-3.2025478645830e-10,2.5837969311709e-06,-3.0496480478143e-10,2.4925762035679e-06,5.8089738408458e-11,-2.8271348666417e-06,-3.7300568920193e-10,-1.1117761060431e-13,1,-9.1381892908206e-14,-7.1895284497535e-16,-1.0116568859990e-13,6.6938819028192e-15,-6.4414182236020e-14,2.0326599196742e-14,-3.8203166487255e-14,7.0088912088664e-15,-1.1272422660201e-14,-3.3716395637263e-14,9.1578250747524e-14,-6.9485582257045e-15,9.7410659051388e-14,-1.2971357403470e-14,6.0997789563849e-14,-2.3749305001824e-14,3.4776624897101e-14,-8.5659876801898e-15,6.9365989687308e-15,3.6274860299809e-14
jw04446003001_02105_00001_nrcb4_cal.fits,F200W,2023-05-09,NRCB4,IMAGE,-32,2,2048,2048,0,1,SCI,6.0073596989857e+04,6.0073599599489e+04,6.0073602209120e+04,6.0073599050555e+04,6.0073601659982e+04,6.0073604269409e+04,4.2947100000000e+02,4.4020800000000e+02,N/A,EME2000,Definitive,6.0073599599489e+04,-1.0191566914766e+08,-1.0514975565154e+08,-4.5509407513721e+07,-3.2686333244984e+08,-1.3957788843317e+09,-5.6891332463448e+08,2.2057018109470e+01,-1.8356330809478e+01,-8.1269696417426e+00,2.7490426301076e+02,-8.9225303420592e+01,-2.0877817797419e+02,1.2689210625404e+02,9.9992153882177e-01,MJy/sr,1.7970000505447e+00,4.2237462866784e+01,2.3100000000000e-14,9.8140000000000e-04,ICRS,1.7194690904864e+02,4.2360086016721e+01,1.2732293385047e+02,2,1.0245000000000e+03,1.0245000000000e+03,1.7180196142072e+02,4.2460533059038e+01,RA---TAN-SIP,DEC--TAN-SIP,deg,deg,5.2383424039109e-06,6.9789517488674e-06,6.9167842609710e-06,-5.2374229887273e-06,POLYGON ICRS  171.784884378 42.458778056 171.804423061 42.448116888 171.818824191 42.462221287 171.799588452 42.473026516,-5.4340619000000e+01,-5.2565799500000e+02,-1,-3.3302260000000e-01,1.7180192003740e+02,4.2460529002287e+01,1.2722512885404e+02,2.3518220000000e+04,4,4,4,4,5.5796191838719e-07,-8.8528823708030e-12,-6.8031203728256e-06,3.9995361111070e-10,-1.9273327588824e-06,3.5756032873834e-11,3.1938721580242e-10,-4.7517727372214e-06,3.5213279253615e-10,-2.6023227868684e-06,1.5227546574090e-11,2.0264166480673e-06,3.1188940288289e-10,-1.7057582489844e-11,-5.5789114113434e-07,4.1008597271793e-12,6.8028666049348e-06,-3.2284471609612e-10,1.9277647723587e-06,2.8942362225175e-11,-3.2281645837264e-10,4.7515592020209e-06,-3.0667938222924e-10,2.6026704684973e-06,4.0205217545240e-11,-2.0259609115231e-06,-3.4767041045081e-10,2.6603172199851e-12,1,-1.0724399717420e-13,-3.5194480617769e-15,-9.9443147008437e-14,-1.4575697309035e-14,-1.2609423777227e-13,-3.0660963864666e-14,3.5974540386545e-14,1.1055456875603e-14,1.7147540996475e-15,3.3346058068295e-14,1.0768705223765e-13,-7.0240835415990e-15,9.5518111285278e-14,5.3238958816686e-15,1.2236965473149e-13,2.2898127362587e-14,-3.9778203910344e-14,-1.6456004257110e-14,-5.6830700120156e-15,-3.1743104020525e-14
jw01176251001_02107_00001_nrca2_cal.fits,F200W,2023-03-30,NRCA2,IMAGE,-32,2,2048,2048,0,1,SCI,6.0033281548964e+04,6.0033284655668e+04,6.0033287762373e+04,6.0033286254783e+04,6.0033289361341e+04,6.0033292467899e+04,5.2610200000000e+02,5.2610200000000e+02,N/A,EME2000,Definitive,6.0033284655668e+04,-1.5004557737591e+08,-2.1804903337420e+07,-9.0403785943883e+06,-1.1743299283974e+09,-2.6996382880426e+08,2.5963605140311e+08,4.2585561805214e+00,-2.7643806030415e+01,-1.1948467549107e+01,7.1419200881818e+01,-5.3450448112968e+02,-1.9658415531138e+02,1.5742115282723e+02,9.9995297009962e-01,MJy/sr,2.0999999046326e+00,4.9359301890548e+01,2.2300000000000e-14,9.4730000000000e-04,ICRS,1.7185924436737e+02,4.2348032268419e+01,1.5770077926868e+02,2,1.0245000000000e+03,1.0245000000000e+03,1.7175180474861e+02,4.2453553576649e+01,RA---TAN-SIP,DEC--TAN-SIP,deg,deg,7.8772718224469e-06,3.2879061476880e-06,3.2869609506741e-06,-7.9067116324053e-06,POLYGON ICRS  171.736239489 42.458250026 171.745482017 42.442101629 171.767251412 42.448783148 171.758229824 42.465043669,1.1974006100000e+02,-4.5978426000000e+02,-1,-2.0724878000000e-01,1.7175185395627e+02,4.2453527974772e+01,1.5762840160723e+02,1.4081150000000e+04,3,3,3,3,-1.1141521505866e-06,-1.4541856717118e-12,-5.2971075399153e-06,3.7484099838583e-10,-8.2367645057753e-09,-2.2891432518782e-11,2.9528848102758e-10,-2.5592289683819e-06,3.3377485143330e-10,1.1311050868581e-06,-6.2532811952240e-11,2.8035023981087e-06,3.3354211480507e-10,-1.2092895347009e-11,1.1130623035694e-06,1.3233783908923e-11,5.2871890994087e-06,-3.3484832599715e-10,8.2336536774212e-09,1.0561862004803e-11,-3.0956567867891e-10,2.5545939214736e-06,-3.2127191528613e-10,-1.1289752292584e-06,4.1283950720473e-11,-2.8010657459103e-06,-3.7536691282179e-10,1.5135504488931e-11,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
jw04446002001_02105_00002_nrcb4_cal.fits,F200W,2023-04-22,NRCB4,IMAGE,-32,2,2048,2048,0,1,SCI,6.0056989150702e+04,6.0056991760334e+04,6.0056994369965e+04,6.0056992450700e+04,6.0056995060150e+04,6.0056997669599e+04,4.2947100000000e+02,4.4020800000000e+02,N/A,EME2000,Definitive,6.0056991760334e+04,-1.2921737925941e+08,-7.4932512476253e+07,-3.2186847962496e+07,-7.3589371057386e+08,-1.1322378475809e+09,-2.3045731385519e+08,1.5715156761705e+01,-2.3504908668231e+01,-1.0320455434129e+01,2.8039396018562e+02,-2.7239503483476e+02,-2.4824823753301e+02,1.3800265149482e+02,9.9993023604314e-01,MJy/sr,1.7970000505447e+00,4.2237462866784e+01,2.3100000000000e-14,9.8140000000000e-04,ICRS,1.7191276129243e+02,4.2344783162771e+01,1.3841396805875e+02,2,1.0245000000000e+03,1.0245000000000e+03,1.7179673020874e+02,4.2463955930144e+01,RA---TAN-SIP,DEC--TAN-SIP,deg,deg,6.4730996929686e-06,5.8389326459206e-06,5.7777526442002e-06,-6.4841774414066e-06,POLYGON ICRS  171.779513397 42.464661606 171.795903135 42.451422358 171.813718651 42.463215238 171.797665797 42.476552641,-5.4340619000000e+01,-5.2565799500000e+02,-1,-3.3302260000000e-01,1.7179668853877e+02,4.2463957832698e+01,1.3833567409482e+02,2.0910090000000e+04,4,4,4,4,5.5796191470844e-07,-8.8528824116293e-12,-6.8031203687635e-06,3.9995361145271e-10,-1.9273327618991e-06,3.5756032977613e-11,3.1938721565620e-10,-4.7517727421275e-06,3.5213279257015e-10,-2.6023227848225e-06,1.5227546617534e-11,2.0264166424452e-06,3.1188940255400e-10,-1.7057581234792e-11,-5.5789113746133e-07,4.1008597352560e-12,6.8028666008731e-06,-3.2284471652606e-10,1.9277647753730e-06,2.8942362050122e-11,-3.2281645820764e-10,4.7515592069129e-06,-3.0667938230352e-10,2.6026704664612e-06,4.0205217492074e-11,-2.0259609058856e-06,-3.4767041011934e-10,2.6603159817414e-12,1,-1.0724399482082e-13,-3.5194467935229e-15,-9.9443145493926e-14,-1.4575698809059e-14,-1.2609423559117e-13,-3.0660961056514e-14,3.5974539198210e-14,1.1055460190149e-14,1.7147525785202e-15,3.3346060232795e-14,1.0768704989350e-13,-7.0240848149268e-15,9.5518109760008e-14,5.3238973929432e-15,1.2236965254847e-13,2.2898124562704e-14,-3.9778202741421e-14,-1.6456007544326e-14,-5.6830685254643e-15,-3.1743106217577e-14
